age,income,economic_status,employment,car_avail,bike_avail,pt_abo_avail,zone,main_mode,share
,,,,,,no,,ride,0.0673122102363269
,,,,,,no,,walk,0.2571757659859007
,,,,,,unknown,,bike,0.23695993549339256
,,,,,,unknown,,pt,0.10611175766026687
,,,,,,unknown,,ride,0.34609323298513794
,,,,,,unknown,,walk,0.31083507386120257
,,,,,,,0,bike,0.15199181811336765
,,,,,,,0,car,0.1855042102359763
,,,,,,,0,pt,0.25735148048277284
,,,,,,,0,ride,0.05426503712050742
,,,,,,,0,walk,0.35088745404737576
,,,,,,,1,bike,0.3363586456170226
,,,,,,,1,car,0.18961399766751444
,,,,,,,1,pt,0.1661294341121582
,,,,,,,1,ride,0.04550785882253425
,,,,,,,1,walk,0.26239006378077046
,,,,,,,2,bike,0.28057555411785046
,,,,,,,2,car,0.23925933045227918
,,,,,,,2,pt,0.18107212904838055
,,,,,,,2,ride,0.07132462554209308
,,,,,,,2,walk,0.2277683608393967
,,,,,,,3,bike,0.18969535783412808
,,,,,,,3,car,0.4185395402639635
,,,,,,,3,pt,0.1512525433646472
,,,,,,,3,ride,0.08120742327050796
,,,,,,,3,walk,0.15930513526675338
,,,,,,,4,bike,0.11463940152941401
,,,,,,,4,car,0.37284296741462986
,,,,,,,4,pt,0.16843131655795754
,,,,,,,4,ride,0.07177809792893486
,,,,,,,4,walk,0.27230821656906357
,,,,,,,5,bike,0.15436139418240402
,,,,,,,5,car,0.31616931251959796
,,,,,,,5,pt,0.17478253257568085
,,,,,,,5,ride,0.11265332230203706
,,,,,,,5,walk,0.2420334384202802
,,,,,,,6,bike,0.21089388469290377
,,,,,,,6,car,0.3014671236257296
,,,,,,,6,pt,0.15509161406766975
,,,,,,,6,ride,0.107944342751084
,,,,,,,6,walk,0.22460303486261282
,,,,,,,7,bike,0.1607056847001205
,,,,,,,7,car,0.3103342083821529
,,,,,,,7,pt,0.1877291652586755
,,,,,,,7,ride,0.09810695364393994
,,,,,,,7,walk,0.24312398801511123
,,,,,,,8,bike,0.15237760776840933
,,,,,,,8,car,0.2780766480380748
,,,,,,,8,pt,0.2066064327043414
,,,,,,,8,ride,0.07198875088559589
,,,,,,,8,walk,0.2909505606035785
,,,,,,,9,bike,0.13488942059680042
,,,,,,,9,car,0.2823522709411654
,,,,,,,9,pt,0.21539834708713612
,,,,,,,9,ride,0.07333784886767888
,,,,,,,9,walk,0.2940221125072191
