age,income,economic_status,employment,car_avail,bike_avail,pt_abo_avail,zone,dist_group,main_mode,share
66+,,,,,,,,10000 - 20000,bike,0.00025212461311976015
66+,,,,,,,,10000 - 20000,car,0.0276402499983727
66+,,,,,,,,10000 - 20000,pt,0.010935666203742847
66+,,,,,,,,10000 - 20000,ride,0.004016956497452628
66+,,,,,,,,10000 - 20000,walk,0.0004245794993686121
66+,,,,,,,,20000+,bike,0.0
66+,,,,,,,,20000+,car,0.00865214139843603
66+,,,,,,,,20000+,pt,0.0076044722305211275
66+,,,,,,,,20000+,ride,0.009637729146663979
66+,,,,,,,,20000+,walk,0.0
,0 - 250,,,,,,,0 - 1000,bike,0.05963541613176284
,0 - 250,,,,,,,0 - 1000,car,0.0
,0 - 250,,,,,,,0 - 1000,pt,0.0
,0 - 250,,,,,,,0 - 1000,ride,0.0
,0 - 250,,,,,,,0 - 1000,walk,0.02195632034072204
,0 - 250,,,,,,,1000 - 2000,bike,0.0650105106666418
,0 - 250,,,,,,,1000 - 2000,car,0.28191726288052255
,0 - 250,,,,,,,1000 - 2000,pt,0.02195632034072204
,0 - 250,,,,,,,1000 - 2000,ride,0.07697394982336157
,0 - 250,,,,,,,1000 - 2000,walk,0.0
,0 - 250,,,,,,,2000 - 5000,bike,0.11927083226352568
,0 - 250,,,,,,,2000 - 5000,car,0.0
,0 - 250,,,,,,,2000 - 5000,pt,0.14401607313491807
,0 - 250,,,,,,,2000 - 5000,ride,0.17944560635194204
,0 - 250,,,,,,,2000 - 5000,walk,0.0
,0 - 250,,,,,,,5000 - 10000,bike,0.0
,0 - 250,,,,,,,5000 - 10000,car,0.0
,0 - 250,,,,,,,5000 - 10000,pt,0.0
,0 - 250,,,,,,,5000 - 10000,ride,0.0
,0 - 250,,,,,,,5000 - 10000,walk,0.0
,0 - 250,,,,,,,10000 - 20000,bike,0.02981770806588142
,0 - 250,,,,,,,10000 - 20000,car,0.0
,0 - 250,,,,,,,10000 - 20000,pt,0.0
,0 - 250,,,,,,,10000 - 20000,ride,0.0
,0 - 250,,,,,,,10000 - 20000,walk,0.0
,0 - 250,,,,,,,20000+,bike,0.0
,0 - 250,,,,,,,20000+,car,0.0
,0 - 250,,,,,,,20000+,pt,0.0
,0 - 250,,,,,,,20000+,ride,0.0
,0 - 250,,,,,,,20000+,walk,0.0
,250 - 500,,,,,,,0 - 1000,bike,0.04607883253841022
,250 - 500,,,,,,,0 - 1000,car,0.0033716589917441183
,250 - 500,,,,,,,0 - 1000,pt,0.0
,250 - 500,,,,,,,0 - 1000,ride,0.0
,250 - 500,,,,,,,0 - 1000,walk,0.17392130580016585
,250 - 500,,,,,,,1000 - 2000,bike,0.15436209831591322
,250 - 500,,,,,,,1000 - 2000,car,0.01628575691677487
,250 - 500,,,,,,,1000 - 2000,pt,0.0
,250 - 500,,,,,,,1000 - 2000,ride,0.01767086513474536
,250 - 500,,,,,,,1000 - 2000,walk,0.07409295298200644
,250 - 500,,,,,,,2000 - 5000,bike,0.2466448104155714
,250 - 500,,,,,,,2000 - 5000,car,0.011163674008382226
,250 - 500,,,,,,,2000 - 5000,pt,0.15311328309674943
,250 - 500,,,,,,,2000 - 5000,ride,0.0
,250 - 500,,,,,,,2000 - 5000,walk,0.0
,250 - 500,,,,,,,5000 - 10000,bike,0.005407887153267057
,250 - 500,,,,,,,5000 - 10000,car,0.021270172240791294
,250 - 500,,,,,,,5000 - 10000,pt,0.017216576430885647
,250 - 500,,,,,,,5000 - 10000,ride,0.0284946795988299
,250 - 500,,,,,,,5000 - 10000,walk,0.0
,250 - 500,,,,,,,10000 - 20000,bike,0.0
,250 - 500,,,,,,,10000 - 20000,car,0.012028725808601622
,250 - 500,,,,,,,10000 - 20000,pt,0.00532273137733646
,250 - 500,,,,,,,10000 - 20000,ride,0.0
,250 - 500,,,,,,,10000 - 20000,walk,0.0
,250 - 500,,,,,,,20000+,bike,0.0
,250 - 500,,,,,,,20000+,car,0.0
,250 - 500,,,,,,,20000+,pt,0.013553989189824998
,250 - 500,,,,,,,20000+,ride,0.0
,250 - 500,,,,,,,20000+,walk,0.0
,500 - 750,,,,,,,0 - 1000,bike,0.07573776215099647
,500 - 750,,,,,,,0 - 1000,car,0.004494600557306969
,500 - 750,,,,,,,0 - 1000,pt,0.0038345497939229626
,500 - 750,,,,,,,0 - 1000,ride,0.002269328136303347
,500 - 750,,,,,,,0 - 1000,walk,0.2835401809504331
,500 - 750,,,,,,,1000 - 2000,bike,0.06632201076814172
,500 - 750,,,,,,,1000 - 2000,car,0.004929366740936352
,500 - 750,,,,,,,1000 - 2000,pt,0.04941745029940217
,500 - 750,,,,,,,1000 - 2000,ride,0.00468058212196248
,500 - 750,,,,,,,1000 - 2000,walk,0.04644348960740817
,500 - 750,,,,,,,2000 - 5000,bike,0.08277543287581236
,500 - 750,,,,,,,2000 - 5000,car,0.002018602107597876
,500 - 750,,,,,,,2000 - 5000,pt,0.11030734327601449
,500 - 750,,,,,,,2000 - 5000,ride,0.008754694715611853
,500 - 750,,,,,,,2000 - 5000,walk,0.007666497028802901
,500 - 750,,,,,,,5000 - 10000,bike,0.048608482794650784
,500 - 750,,,,,,,5000 - 10000,car,0.014652753461641792
,500 - 750,,,,,,,5000 - 10000,pt,0.11376114872494686
,500 - 750,,,,,,,5000 - 10000,ride,0.0012947891157702872
,500 - 750,,,,,,,5000 - 10000,walk,0.0
,500 - 750,,,,,,,10000 - 20000,bike,0.020120138532003857
,500 - 750,,,,,,,10000 - 20000,car,0.0
,500 - 750,,,,,,,10000 - 20000,pt,0.014068290314192298
,500 - 750,,,,,,,10000 - 20000,ride,0.0
,500 - 750,,,,,,,10000 - 20000,walk,0.0
,500 - 750,,,,,,,20000+,bike,0.0024181587432470925
,500 - 750,,,,,,,20000+,car,0.02348007002832763
,500 - 750,,,,,,,20000+,pt,0.001154140774469833
,500 - 750,,,,,,,20000+,ride,0.007250136380096407
,500 - 750,,,,,,,20000+,walk,0.0
,750 - 1000,,,,,,,0 - 1000,bike,0.04060032378679064
,750 - 1000,,,,,,,0 - 1000,car,0.02122281120159729
,750 - 1000,,,,,,,0 - 1000,pt,0.0
,750 - 1000,,,,,,,0 - 1000,ride,0.004791219228679639
,750 - 1000,,,,,,,0 - 1000,walk,0.200967669118114
,750 - 1000,,,,,,,1000 - 2000,bike,0.037941136097651866
,750 - 1000,,,,,,,1000 - 2000,car,0.028903516061362853
,750 - 1000,,,,,,,1000 - 2000,pt,0.02534631846430173
,750 - 1000,,,,,,,1000 - 2000,ride,0.007708936547788878
,750 - 1000,,,,,,,1000 - 2000,walk,0.09762040703024372
,750 - 1000,,,,,,,2000 - 5000,bike,0.04613224069605223
,750 - 1000,,,,,,,2000 - 5000,car,0.09669681171405622
,750 - 1000,,,,,,,2000 - 5000,pt,0.0903632282562023
,750 - 1000,,,,,,,2000 - 5000,ride,0.05328376876854135
,750 - 1000,,,,,,,2000 - 5000,walk,0.007632276805263297
,750 - 1000,,,,,,,5000 - 10000,bike,0.008971148241721816
,750 - 1000,,,,,,,5000 - 10000,car,0.05257015722310463
,750 - 1000,,,,,,,5000 - 10000,pt,0.06471155610014895
,750 - 1000,,,,,,,5000 - 10000,ride,0.03192302875656541
,750 - 1000,,,,,,,5000 - 10000,walk,0.0
,750 - 1000,,,,,,,10000 - 20000,bike,0.0
,750 - 1000,,,,,,,10000 - 20000,car,0.03983884250693953
,750 - 1000,,,,,,,10000 - 20000,pt,0.007295921840708445
,750 - 1000,,,,,,,10000 - 20000,ride,0.0
,750 - 1000,,,,,,,10000 - 20000,walk,0.0016657710395362397
,750 - 1000,,,,,,,20000+,bike,0.0
,750 - 1000,,,,,,,20000+,car,0.016522049843639374
,750 - 1000,,,,,,,20000+,pt,0.012639534170800113
,750 - 1000,,,,,,,20000+,ride,0.004651326500189741
,750 - 1000,,,,,,,20000+,walk,0.0
,1000 - 1250,,,,,,,0 - 1000,bike,0.04602486565880551
,1000 - 1250,,,,,,,0 - 1000,car,0.021664415905670507
,1000 - 1250,,,,,,,0 - 1000,pt,0.009267332655622797
,1000 - 1250,,,,,,,0 - 1000,ride,0.0028297142328473075
,1000 - 1250,,,,,,,0 - 1000,walk,0.22118625423172533
,1000 - 1250,,,,,,,1000 - 2000,bike,0.03899162050186056
,1000 - 1250,,,,,,,1000 - 2000,car,0.03144494722899208
,1000 - 1250,,,,,,,1000 - 2000,pt,0.015751756101467906
,1000 - 1250,,,,,,,1000 - 2000,ride,0.009765457266540833
,1000 - 1250,,,,,,,1000 - 2000,walk,0.05860084034426083
,1000 - 1250,,,,,,,2000 - 5000,bike,0.06003746969814849
,1000 - 1250,,,,,,,2000 - 5000,car,0.08023384378006719
,1000 - 1250,,,,,,,2000 - 5000,pt,0.07834656227612906
,1000 - 1250,,,,,,,2000 - 5000,ride,0.04106570523200991
,1000 - 1250,,,,,,,2000 - 5000,walk,0.012674309629722833
,1000 - 1250,,,,,,,5000 - 10000,bike,0.027628042862163367
,1000 - 1250,,,,,,,5000 - 10000,car,0.06592816697245525
,1000 - 1250,,,,,,,5000 - 10000,pt,0.06857487529351398
,1000 - 1250,,,,,,,5000 - 10000,ride,0.019000531285203456
,1000 - 1250,,,,,,,5000 - 10000,walk,0.0018790091707528503
,1000 - 1250,,,,,,,10000 - 20000,bike,0.003744913814845397
,1000 - 1250,,,,,,,10000 - 20000,car,0.030701956022957146
,1000 - 1250,,,,,,,10000 - 20000,pt,0.028658752214614693
,1000 - 1250,,,,,,,10000 - 20000,ride,0.006910035194628246
,1000 - 1250,,,,,,,10000 - 20000,walk,0.0
,1000 - 1250,,,,,,,20000+,bike,0.003640295144365148
,1000 - 1250,,,,,,,20000+,car,0.010455181721757363
,1000 - 1250,,,,,,,20000+,pt,0.004993145558871975
,1000 - 1250,,,,,,,20000+,ride,0.0
,1000 - 1250,,,,,,,20000+,walk,0.0
,1250 - 1500,,,,,,,0 - 1000,bike,0.032452691291475086
,1250 - 1500,,,,,,,0 - 1000,car,0.01300028243852013
,1250 - 1500,,,,,,,0 - 1000,pt,0.0
,1250 - 1500,,,,,,,0 - 1000,ride,0.0020066038859662956
,1250 - 1500,,,,,,,0 - 1000,walk,0.22768575313278738
,1250 - 1500,,,,,,,1000 - 2000,bike,0.057531800577519235
,1250 - 1500,,,,,,,1000 - 2000,car,0.01682535206561084
,1250 - 1500,,,,,,,1000 - 2000,pt,0.03117200311719772
,1250 - 1500,,,,,,,1000 - 2000,ride,0.023067213712347472
,1250 - 1500,,,,,,,1000 - 2000,walk,0.050447974699554844
,1250 - 1500,,,,,,,2000 - 5000,bike,0.07942463503530847
,1250 - 1500,,,,,,,2000 - 5000,car,0.04708253055342413
,1250 - 1500,,,,,,,2000 - 5000,pt,0.11205654958534365
,1250 - 1500,,,,,,,2000 - 5000,ride,0.04531714083020248
,1250 - 1500,,,,,,,2000 - 5000,walk,0.006587394596755931
,1250 - 1500,,,,,,,5000 - 10000,bike,0.024423297172216335
,1250 - 1500,,,,,,,5000 - 10000,car,0.057811037372812374
,1250 - 1500,,,,,,,5000 - 10000,pt,0.07777301961759073
,1250 - 1500,,,,,,,5000 - 10000,ride,0.013169456126109695
,1250 - 1500,,,,,,,5000 - 10000,walk,0.0
,1250 - 1500,,,,,,,10000 - 20000,bike,0.0047528459100616436
,1250 - 1500,,,,,,,10000 - 20000,car,0.03444383141975804
,1250 - 1500,,,,,,,10000 - 20000,pt,0.026000094317141346
,1250 - 1500,,,,,,,10000 - 20000,ride,0.000756201231230568
,1250 - 1500,,,,,,,10000 - 20000,walk,0.0
,1250 - 1500,,,,,,,20000+,bike,0.0
,1250 - 1500,,,,,,,20000+,car,0.006591685173922581
,1250 - 1500,,,,,,,20000+,pt,0.004868660388695898
,1250 - 1500,,,,,,,20000+,ride,0.004751945748447125
,1250 - 1500,,,,,,,20000+,walk,0.0
,1500 - 1750,,,,,,,0 - 1000,bike,0.041943530364364656
,1500 - 1750,,,,,,,0 - 1000,car,0.013830037974392192
,1500 - 1750,,,,,,,0 - 1000,pt,0.0027736842792696796
,1500 - 1750,,,,,,,0 - 1000,ride,0.01104091310798503
,1500 - 1750,,,,,,,0 - 1000,walk,0.1894668878951588
,1500 - 1750,,,,,,,1000 - 2000,bike,0.031141229835752796
,1500 - 1750,,,,,,,1000 - 2000,car,0.04894654600715988
,1500 - 1750,,,,,,,1000 - 2000,pt,0.012396081824769164
,1500 - 1750,,,,,,,1000 - 2000,ride,0.02448749531813115
,1500 - 1750,,,,,,,1000 - 2000,walk,0.03861309318555292
,1500 - 1750,,,,,,,2000 - 5000,bike,0.0420559221930324
,1500 - 1750,,,,,,,2000 - 5000,car,0.10203503996289459
,1500 - 1750,,,,,,,2000 - 5000,pt,0.07629974984318386
,1500 - 1750,,,,,,,2000 - 5000,ride,0.05272092717315494
,1500 - 1750,,,,,,,2000 - 5000,walk,0.010823349477455342
,1500 - 1750,,,,,,,5000 - 10000,bike,0.02558137931459652
,1500 - 1750,,,,,,,5000 - 10000,car,0.07289478420670029
,1500 - 1750,,,,,,,5000 - 10000,pt,0.07125109922126266
,1500 - 1750,,,,,,,5000 - 10000,ride,0.03309932144044991
,1500 - 1750,,,,,,,5000 - 10000,walk,0.006337007249892761
,1500 - 1750,,,,,,,10000 - 20000,bike,0.006301907136322676
