dist,walk,bike,car,pt,ride
9600,0.016252874444866703,0.03997169938772629,0.45544131040067015,0.3942172758742749,0.09411683989246213
9700,0.01581749229449893,0.04243070981461104,0.4537218424057194,0.40928979764943224,0.0787401578357382
9800,0.01381681145230215,0.04660326548118668,0.4592306166752352,0.40656189441408064,0.07378741197719554
9900,0.009884052361967061,0.05474708849561122,0.4718726028089003,0.38722097659493704,0.07627527973858432
10000,0.0049053803247805445,0.0670741551873772,0.4876110877629252,0.3614902329286017,0.07891914379631532
10100,0.0010150674584577352,0.0796963031704502,0.5043520893602926,0.3360454676639855,0.07889107234681376
10200,0.0,0.08963278746109751,0.5242190468526803,0.30786848365046204,0.07827968203576019
10300,0.0,0.09474524712327131,0.5474644658970554,0.27806044766586924,0.07972983931380405
10400,0.0,0.09808616587973991,0.5735434564555735,0.24418490857729064,0.08418546908739594
10500,0.0,0.10332260861452792,0.6060554368426565,0.1985406988400231,0.09208125570279245
10600,0.0,0.10564504749549372,0.6360751696311837,0.15674127130927235,0.10153851156405021
10700,0.0004364389908990145,0.09883994079516928,0.6478192996832042,0.14507133718667747,0.10783298334405005
10800,0.002050224004319449,0.08936223736009748,0.659140390990939,0.14078779999260346,0.1086593476520406
10900,0.003961564455984769,0.08097311486462107,0.6734377625750169,0.13391470021183022,0.10771285789254711
11000,0.005437326113949837,0.07857306923167871,0.6804301211152095,0.12613481941761923,0.10942466412154268
11100,0.0063339796954997125,0.08039143291912472,0.6822440861830326,0.11817891122832619,0.11285158997401691
11200,0.006749174376508178,0.08100309836069959,0.6868217867954476,0.10829601785261625,0.11712992261472839
11300,0.0068584993126920854,0.07771852729144854,0.6979936776596344,0.09733978505584057,0.12008951068038437
11400,0.0068627703829832135,0.07680938299445166,0.7110359979243386,0.08688867072840512,0.11840317796982135
11500,0.006511936422942864,0.0889012127458599,0.7127357517316804,0.08162435490983738,0.11022674418967952
11600,0.005558223550472366,0.11171130760909741,0.6949787409438998,0.08872074667357646,0.099030981222954
11700,0.003958164066629317,0.1338637610821341,0.6688452055411648,0.10465947767786982,0.08867339163220189
11800,0.0019805989592420717,0.14633734320112088,0.64477213547826,0.1245159015475162,0.08239402081386082
11900,0.00040974196813558546,0.14983368518835785,0.6280586476596334,0.14234706886665585,0.07935085631721744
12000,0.0,0.15188550923608665,0.6184644614117051,0.15457471023522448,0.07507531911698377
12100,0.0,0.15428600356595654,0.610122990187321,0.16714827307254007,0.06844273317418244
12200,0.0,0.15511348557316443,0.5984740958140736,0.18508964596512215,0.06132277264763977
12300,0.0,0.14683065836408637,0.5896023732392667,0.2086639837438209,0.05490298465282595
12400,0.0,0.12220778202350972,0.5925866037011239,0.2353869140370348,0.049818700238331536
12500,0.0,0.08512473701305083,0.6061457297737999,0.26171153409780923,0.04701799911533995
12600,0.0,0.05624303742920103,0.620093572437523,0.2805790574608209,0.0430843326724552
12700,0.0,0.05489606207948103,0.6231522327804527,0.2854242506006801,0.03652745453938609
12800,0.0,0.07550861262294603,0.6101494909717805,0.28704861281652944,0.027293283588743895
12900,0.0,0.10106471944752767,0.5923933878071155,0.2890624685968623,0.017479424148494634
13000,0.0,0.1196087958037713,0.5833150489094892,0.2834137899862841,0.0136623653004555
13100,0.0,0.12967553139272386,0.5820512259669562,0.26747315972940117,0.020800082910918758
13200,0.0,0.1332666859360112,0.5841970805067056,0.23993605340885488,0.042600180148428354
13300,0.0,0.13388323365187674,0.5873777438431641,0.2031645655056619,0.07557445699929738
