purpose,h,arrival,departure
edu_other,11,3.2617638221904866e-05,3.2617638221904866e-05
edu_other,12,0.0003637395244053697,0.0003637395244053697
edu_other,13,0.0,0.00028362976331282113
edu_other,14,0.0006270022427616261,0.0006682363972002072
edu_other,15,0.00047296953828309323,0.00028578598905824003
edu_other,16,0.0005061680288048236,0.00040358467979112597
edu_other,17,0.0006554107331101351,0.00083261641990244
edu_other,18,0.00046956920330388954,0.00040871563576177583
edu_other,19,0.0001514491387630424,0.0
edu_primary,6,0.00040199149545703275,0.0010250229013175195
edu_primary,7,0.010694871282083825,0.0105674348282762
edu_primary,8,0.0006815837956623851,0.0002351192756189882
edu_primary,9,1.959847650534212e-05,5.1725987492854486e-05
edu_primary,10,0.00013447126229055133,0.00010234375130303898
edu_primary,11,0.00012485921628842337,0.00032580782038570366
edu_primary,12,0.00023799308530845776,3.704448121117753e-05
edu_primary,14,6.218420048138267e-05,0.00018375098157921273
edu_primary,15,0.00012156678109783006,8.119977636800128e-05
edu_primary,16,0.00019929744207889102,0.00011809766571088974
edu_primary,17,0.00015898810202725558,0.00010985767001779208
edu_primary,18,4.1259025224690425e-05,0.0002535182708693977
edu_primary,19,0.0003027449525938678,9.048570694916053e-05
edu_secondary,6,0.00021005851211400612,0.004280052053453634
edu_secondary,7,0.015528279839093455,0.013297727220022718
edu_secondary,8,0.002271028538417429,0.0012199444854944879
edu_secondary,9,0.0013865235847386743,0.0007528760604510838
edu_secondary,10,0.00018730324132740608,3.2593896269049345e-05
edu_secondary,11,0.0,0.0002814108700131695
edu_secondary,12,0.0003897908388971566,0.00010837996888398708
edu_secondary,14,7.233609440370898e-05,7.233609440370898e-05
edu_secondary,15,6.575293313060527e-05,6.575293313060527e-05
edu_secondary,16,5.09645036935083e-05,5.09645036935083e-05
edu_secondary,17,0.00010685029481286455,0.00013007183658590937
edu_secondary,18,8.314306880956849e-05,0.0001827589811140394
edu_secondary,19,0.00012283745407751573,0.0
home,4,0.0001704056676970662,0.0001704056676970662
home,5,0.0,0.0004760217031431793
home,6,0.001606206067836151,0.0017803622985233753
home,7,0.0033885822436595194,0.0043564151856472465
home,8,0.008322231895717612,0.008430668917095168
home,9,0.009660991515701682,0.010541836315452021
home,10,0.012325260443442818,0.015546498157687147
home,11,0.020325639137376342,0.021076873060383198
home,12,0.019700877944627174,0.019580774497615347
home,13,0.018779138388457395,0.022244759441407864
home,14,0.025219145264776647,0.03071379780083205
home,15,0.03912557029080633,0.04268907869228478
home,16,0.054163572696961634,0.05614795291982628
home,17,0.053796401613743695,0.04966091638439722
home,18,0.04335635034375787,0.037308933944699
home,19,0.02943344205839197,0.0259352738650513
home,20,0.022080756608754772,0.02007115922357248
home,21,0.013887903815578716,0.013551043697781984
home,22,0.012910534238852477,0.009615488670578199
home,23,0.0042725894809871184,0.003452518518669255
home,24,0.0018144490599453912,0.0009892698147282199
home,25,0.0,5.7318810607831797e-05
home,26,0.0004941493174611535,0.0004368305068533217
leisure,2,5.09645036935083e-05,5.09645036935083e-05
leisure,5,0.0,8.003467733948768e-05
leisure,6,8.003467733948768e-05,0.0004748543031281909
leisure,7,0.0011005369790748612,0.0011397964661021111
leisure,8,0.002600646399914935,0.004237501707773171
leisure,9,0.005263754376611121,0.005349768493365549
leisure,10,0.004645468966153013,0.0057817674956491686
leisure,11,0.004720205007532183,0.0032698787169736917
leisure,12,0.0033369152010079084,0.0034752161183957027
leisure,13,0.0028683376197963534,0.003945852577843946
leisure,14,0.007682797375844689,0.008248543856884673
leisure,15,0.008380144009054607,0.00877198068049635
leisure,16,0.014535776188906592,0.014155208535002404
leisure,17,0.011202649208317518,0.01080590286268222
leisure,18,0.010954081043385487,0.011200228477910894
leisure,19,0.010950489161918854,0.0088885280387777
leisure,20,0.004980930261127383,0.0044481459812675764
leisure,21,0.000970442513607844,0.0
leisure,22,5.7318810607831797e-05,0.0001629814302105888
leisure,23,0.0004034732892640831,0.00035250878557057487
leisure,25,5.469811590924871e-05,0.0
leisure,26,0.0,0.00026516808097551506
leisure,27,0.00026516808097551506,0.0
other,6,6.479881607348991e-05,6.479881607348991e-05
other,7,0.00012699729058077836,0.00019469337468618278
other,8,0.0010947695771687338,0.001244671133115442
other,9,0.0006958696304171931,0.001915526167025699
other,10,0.002468637911219581,0.0011806920641666285
other,11,0.0006345962352448642,0.00048528790563719863
other,12,0.0005410573068345413,0.0006031054760434016
other,13,0.0005772799217237162,0.0007436007643417066
other,14,0.0005672670678777092,0.0005373525979330226
other,15,0.0007779380010408011,0.0009518376652574268
other,16,0.000962499110004462,0.0006170885723013545
other,17,0.00045113640300760687,0.000509266166013192
other,18,0.0003735123374780172,0.000459212517524057
other,19,0.0006256919679829494,0.0005600873851438575
other,20,0.0001730943178867774,6.792528927856228e-05
other,21,2.6506960482692367e-05,3.6309703881552945e-05
other,22,0.0001642858956656215,0.0001544831522667609
other,23,0.0002588788514819954,0.0002588788514819954
outside_recreation,5,0.0004219115509705229,0.0005841002348698631
outside_recreation,6,0.0008837248409397415,0.0008356400095390385
outside_recreation,7,0.0006698564612838911,0.0010953274462920052
outside_recreation,8,0.0012594739278598045,0.0014227439478598192
outside_recreation,9,0.0013197447697069018,0.001124499688646271
outside_recreation,10,0.001116587068327654,0.0010708280005858127
outside_recreation,11,0.0010643087001966647,0.001844015456757405
outside_recreation,12,0.0032509727224253053,0.002990387091308573
outside_recreation,13,0.0016246511255558456,0.001742021440700693
outside_recreation,14,0.0019378448890615104,0.0019444209826045998
outside_recreation,15,0.002244017743411778,0.0022615022371349457
outside_recreation,16,0.004561552872543984,0.004705749066966236
outside_recreation,17,0.0028808793545712437,0.0026935751202689633
outside_recreation,18,0.0021069695773011463,0.002124422695474372
outside_recreation,19,0.001969227418353005,0.001883651726935535
outside_recreation,20,0.0023073193837054706,0.0018554779135168506
outside_recreation,21,0.0010327682471909828,0.0004734475939444686
outside_recreation,22,0.0004519529310139131,0.0004519529310139131
outside_recreation,23,4.460992129126806e-05,4.460992129126806e-05
personal_business,5,0.0,0.0001640244585995976
personal_business,6,0.00043264506950646596,0.0006372256185944682
personal_business,7,0.002983856268678403,0.0035964959010360282
personal_business,8,0.004707895308136078,0.006641618403071192
personal_business,9,0.008845584665152029,0.007997458989639642
personal_business,10,0.007667088422534636,0.008812607120774342
personal_business,11,0.006435067061775001,0.003916037234717627
personal_business,12,0.0028755253920506076,0.003377937189718308
personal_business,13,0.003442917676293657,0.0027120215451784287
personal_business,14,0.0039008113036838547,0.004233754074875975
personal_business,15,0.00581750566672894,0.006187097741917139
personal_business,16,0.004400044837965276,0.005269571948937802
personal_business,17,0.004754875999341202,0.0028018163232107988
personal_business,18,0.0009960131936431514,0.0014092888700767217
personal_business,19,0.000394765895975303,0.0003300759867829657
personal_business,20,0.000503032404450062,7.059775878363052e-05
shop_daily,6,0.00028188916016320687,0.00030944770733924183
shop_daily,7,0.0013168205036657539,0.0013704112892699608
shop_daily,8,0.0027374761022703597,0.0029394458544020293
shop_daily,9,0.008629124961445302,0.009472904836634382
shop_daily,10,0.010118093566903227,0.012654049651984613
shop_daily,11,0.010562301170319288,0.008677078009444377
shop_daily,12,0.006617033857416653,0.00585307407275553
shop_daily,13,0.0034636344946916103,0.003205411543968331
shop_daily,14,0.003929147359082568,0.0038022879498656815
shop_daily,15,0.0053884652725839,0.005681362516813257
shop_daily,16,0.008864351114965816,0.00993365566311741
shop_daily,17,0.00993539052830529,0.008362256522440017
shop_daily,18,0.005233929977484325,0.005606312901337031
shop_daily,19,0.0022072303312021583,0.001417189881127597
shop_daily,20,0.0011420083085936109,0.0011420083085936109
shop_daily,21,5.09645036935083e-05,5.09645036935083e-05
shop_other,6,0.00020250111958809976,0.00024886236175632637
shop_other,7,0.0004904453512843411,0.00044408410911611444
shop_other,8,0.0009630837563791874,0.0012019194408686175
shop_other,9,0.002161436344375733,0.002601053321192496
shop_other,10,0.0035422824388639707,0.003590666540940132
shop_other,11,0.0023224540085287136,0.002319633285235095
shop_other,12,0.003068731404960199,0.0031342725023872837
shop_other,13,0.00262530044288399,0.0026472320228817523
shop_other,14,0.003727639892597053,0.0040715756926195616
shop_other,15,0.0027754329466655745,0.0020098429233368514
shop_other,16,0.002533336659522469,0.004081071753083834
shop_other,17,0.00394939004498368,0.003731787210790136
shop_other,18,0.004059093280285183,0.002485475413012655
shop_other,19,0.00020028604076627882,5.393715446361479e-05
shop_other,20,0.00047386477064409823,0.00047386477064409823
shop_other,21,3.1608145579419274e-05,3.1608145579419274e-05
transport,4,5.900490621525894e-05,5.900490621525894e-05
transport,5,9.309496169532037e-05,9.309496169532037e-05
transport,6,0.0008803469673635577,0.0014789610697180768
transport,7,0.010670418879444659,0.01233027706641633
transport,8,0.009232407570030602,0.007964062622596963
transport,9,0.0015758353787812599,0.0010097431419367605
transport,10,0.0009614975908467526,0.0005576244942559804
transport,11,0.0006082585184286049,0.0006641406084949554
transport,12,0.0010958402542367521,0.0010551252145693107
transport,13,0.000446721275942156,0.0008275397519732505
transport,14,0.004095033159285596,0.004784349593083105
